序,年份,文章标题,导师论文署名单位,论文对应经历阶段,统一研究主题,研究问题,采用方法,应用领域,证据位置,未完成事项序号
121,2016,Segmental Recurrent Neural Networks,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,语音识别与分段建模,如何联合预测序列分段与片段标签？,双向循环网络编码片段，再用半马尔可夫CRF整合评分。,语音识别与分段建模,"论文信息汇总.csv 序121：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2016_Segmental Recurrent Neural Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1511.06018；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2016”。
原文摘要依据：“We introduce segmental recurrent neural networks (SRNNs) which define, given an input sequence, a joint probability distribution over segmentations of the input and labelings of the segments. Represen”。",P121-C;P121-A;P121-R
129,2016,Document Context Language Models,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,语言建模与记忆,语言模型如何利用句外上下文改善篇章连贯性？,DCLM以多层级循环网络同时建模词、句和文档上下文。,语言建模与记忆,"论文信息汇总.csv 序129：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2016_Document Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1511.03962；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第13页；版本2026-01-27。
PDF发表标记：“Workshop track - ICLR 2016”。
原文摘要依据：“Text documents are structured on multiple levels of detail: individual words are related by syntax, but larger units of text are related by discourse structure. Existing language models generally fail”。",P129-C;P129-A;P129-R
4,2017,SyntaxNet Models for the CoNLL 2017 Shared Task,Google,Google Research；研究实习；2016（论文发表2017；具体研究时间待核验）,句法分析与结构化表示,如何构建多语言依存句法分析的强基线？,在DRAGNN中结合转移式循环分析、词性标注和字符级表示。,句法分析与结构化表示,"论文信息汇总.csv 序4：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_SyntaxNet Models for the CoNLL 2017 Shared Task.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1703.04929；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We describe a baseline dependency parsing system for the CoNLL2017 Shared Task. This system, which we call ""ParseySaurus,"" uses the DRAGNN framework [Kong et al, 2017] to combine transition-based recu”。",P4-C;P4-A;P4-R
5,2017,DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,如何根据中间预测动态连接循环网络，同时支持多任务？,提出带离散状态转移的TBRU单元并组合为DRAGNN。,句法分析与结构化表示,"论文信息汇总.csv 序5：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_DRAGNN_ A Transition-based Framework for Dynamically Connected Neural Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1703.04474；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“In this work, we present a compact, modular framework for constructing novel recurrent neural architectures. Our basic module is a new generic unit, the Transition Based Recurrent Unit (TBRU). In addi”。",P5-C;P5-A;P5-R
6,2017,DyNet: The Dynamic Neural Network Toolkit,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,神经网络工具,动态网络结构如何兼顾编程灵活性和计算效率？,以轻量计算图和优化的C++后端实现DyNet。,神经网络工具,"论文信息汇总.csv 序6：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_DyNet_ The Dynamic Neural Network Toolkit.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1701.03980；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We describe DyNet, a toolkit for implementing neural network models based on dynamic declaration of network structure. In the static declaration strategy that is used in toolkits like Theano, CNTK, an”。",P6-C;P6-A;P6-R
15,2017,End-to-End Neural Segmental Models for Speech Recognition,待核验,阶段待核验,语音识别与分段建模,神经分段模型在端到端语音识别中如何训练和搜索？,比较声学编码器、有限状态解码器、权重函数和多种损失。,语音识别与分段建模,"论文信息汇总.csv 序15：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_End-to-End Neural Segmental Models for Speech Recognition.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1708.00531；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Segmental models are an alternative to frame-based models for sequence prediction, where hypothesized path weights are based on entire segment scores rather than a single frame at a time. Neural segme”。",P15-C;P15-A;P15-R;P15-F
117,2017,Multi-task Learning with CTC and Segmental CRF for Speech Recognition,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,语音识别与分段建模,CTC和分段条件随机场能否互补训练语音模型？,共享循环编码器，联合优化SCRF与CTC损失。,语音识别与分段建模,"论文信息汇总.csv 序117：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_Multi-task Learning with CTC and Segmental CRF for Speech Recognition.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1702.06378；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
原文摘要依据：“Segmental conditional random fields (SCRFs) and connectionist temporal classification (CTC) are two sequence labeling methods used for end-to-end training of speech recognition models. Both models def”。",P117-C;P117-A;P117-R;P117-F
118,2017,What Do Recurrent Neural Network Grammars Learn About Syntax?,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,循环神经文法实际学到了哪些句法信息？,用模型消融与注意力增强的RNNG检查结构组合与中心词作用。,句法分析与结构化表示,"论文信息汇总.csv 序118：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_What Do Recurrent Neural Network Grammars Learn About Syntax_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/E17-1117/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 1, Long Papers, pages 1249–1258,”。
原文摘要依据：“Recurrent neural network grammars (RNNG) are a recently proposed probablistic generative modeling family for natural language. They show state-of-the-art language modeling and parsing performance. We ”。",P118-C;P118-A;P118-R
2,2018,Neural Phrase-to-Phrase Machine Translation,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,机器翻译,短语级翻译如何兼顾训练效率与跨域泛化？,短语注意力结合动态规划，并在解码中接入外部短语词典。,机器翻译,"论文信息汇总.csv 序2：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Neural Phrase-to-Phrase Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.02172；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“In this paper, we propose Neural Phrase-to-Phrase Machine Translation (NP$^2$MT). Our model uses a phrase attention mechanism to discover relevant input (source) segments that are used by a decoder to”。",P2-C;P2-A;P2-R
3,2018,Sentence Encoding with Tree-constrained Relation Networks,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,句法分析与结构化表示,句子表示如何利用词语间的高阶关系与句法结构？,将监督或潜在依存树约束加入循环关系网络。,句法分析与结构化表示,"论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。",P3-C;P3-A;P3-R
1,2019,Learning and Evaluating General Linguistic Intelligence,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,语言迁移与学习能力评测,语言模型能否复用词汇、句法和语义知识，快速适应新任务？,用跨任务实验和在线编码指标衡量学习效率。,语言迁移与学习能力评测,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。",P1-C;P1-A;P1-R
115,2019,Episodic Memory in Lifelong Language Learning,待核验,阶段待核验,语言建模与记忆,连续接收不同数据时如何减少灾难性遗忘？,使用情景记忆中的稀疏经验回放与局部适应。,语言建模与记忆,"论文信息汇总.csv 序115：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/1906.01076；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We introduce a lifelong language learning setup where a model needs to learn from a stream of text examples without any dataset identifier. We propose an episodic memory model that performs sparse exp”。",P115-C;P115-D;P115-A;P115-R;P115-F
116,2019,Variational Smoothing in Recurrent Neural Network Language Models,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,语言建模与记忆,语言模型的数据加噪如何获得统一概率解释？,将加噪视为带特定变分分布的贝叶斯循环网络。,语言建模与记忆,"论文信息汇总.csv 序116：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Variational Smoothing in Recurrent Neural Network Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.09296；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2019”。
原文摘要依据：“We present a new theoretical perspective of data noising in recurrent neural network language models (Xie et al., 2017). We show that each variant of data noising is an instance of Bayesian recurrent ”。",P116-C;P116-A;P116-R
13,2020,Syntactic Structure Distillation Pretraining for Bidirectional Encoders,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,句法分析与结构化表示,大规模BERT预训练是否仍受益于明确的句法归纳偏置？,蒸馏层次句法语言模型在双向上下文中的近似边缘分布。,句法分析与结构化表示,"论文信息汇总.csv 序13：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Syntactic Structure Distillation Pretraining for Bidirectional Encoders.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.50/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Textual representation learners trained on large amounts of data have achieved notable success on downstream tasks; intriguingly, they have also performed well on challenging tests of syntactic compet”。",P13-C;P13-A;P13-R
14,2020,Better Document-Level Machine Translation with Bayes’ Rule,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,机器翻译,缺少平行文档时，如何利用跨句信息提升文档翻译？,用贝叶斯法则组合文档语言模型先验与反向句级翻译概率。,机器翻译,"论文信息汇总.csv 序14：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Better Document-Level Machine Translation with Bayes’ Rule.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.23/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We show that Bayes’ rule provides an effective mechanism for creating document translation models that can be learned from only parallel sentences and monolingual documents a compelling benefit becaus”。",P14-C;P14-A;P14-R
114,2020,A Mutual Information Maximization Perspective of Language Representation Learning,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,句法分析与结构化表示,词表示学习能否用统一的互信息目标解释？,把经典词嵌入与上下文表示解释为互信息下界最大化。,句法分析与结构化表示,"论文信息汇总.csv 序114：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_A Mutual Information Maximization Perspective of Language Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1910.08350；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We show state-of-the-art word representation learning methods maximize an objective function that is a lower bound on the mutual information between different parts of a word sequence (i.e., a sentenc”。",P114-C;P114-A;P114-R;P114-F
12,2021,Adaptive Semiparametric Language Models,Google DeepMind,Google DeepMind；研究科学家/高级研究科学家；2017-2020（岗位边界待核验）,语言建模与记忆,语言模型如何按上下文选择短期和长期记忆？,将Transformer、局部隐藏态缓存和近邻词元检索用门控组合。,语言建模与记忆,"论文信息汇总.csv 序12：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Adaptive Semiparametric Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.tacl-1.22/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We present a language model that combines a large parametric neural network (i.e., a transformer) with a non-parametric episodic memory component in an integrated architecture. Our model uses extended”。",P12-C;P12-A;P12-R
111,2021,Cascaded Head-colliding Attention,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,高效注意力与序列架构,多头注意力如何减少头部冗余？,CODA用潜变量和层次变分分布显式建模头间交互。,高效注意力与序列架构,"论文信息汇总.csv 序111：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Cascaded Head-colliding Attention.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.acl-long.45/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“Transformers have advanced the field of natural language processing (NLP) on a variety of important tasks. At the cornerstone of the Transformer architecture is the multi-head attention (MHA) mechanis”。",P111-C;P111-A;P111-R
112,2021,Good for Misconceived Reasons: An Empirical Revisiting on the Need for Visual Context in Multimodal Machine Translation,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,机器翻译,多模态翻译的性能提升是否真正来自视觉信息？,设计可解释模型并分析视觉信息的使用情况。,机器翻译,"论文信息汇总.csv 序112：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Good for Misconceived Reasons_ An Empirical Revisiting on the Need for Visual Context in Multimodal Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.acl-long.480/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“A neural multimodal machine translation (MMT) system is one that aims to perform better translation by extending conventional text-only translation models with multimodal information. Many recent stud”。",P112-C;P112-A;P112-R
113,2021,Random Feature Attention,香港大学（首页与Allen AI复用同一单位符号；对应关系待核验）,阶段待核验,高效注意力与序列架构,softmax注意力如何降低长序列的二次计算成本？,用随机特征线性近似softmax，并提供可选近因门控。,高效注意力与序列架构,"论文信息汇总.csv 序113：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Random Feature Attention.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2103.02143；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2021”。
原文摘要依据：“Transformers are state-of-the-art models for a variety of sequence modeling tasks. At their core is an attention function which models pairwise interactions between the inputs at every timestep. While”。",P113-C;P113-A;P113-R
