合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Dani Yogatama,Generative and Discriminative Text Classification with Recurrent Neural Networks,2017,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://dyogatama.github.io/publications.html；论文链接https://arxiv.org/abs/1703.01898；访问2026-09-17；可见作者原文：“Dani Yogatama, Chris Dyer, Wang Ling, and Phil Blunsom.”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Lookahead Convolution Layer for Unidirectional Recurrent Neural Networks,2016,共同一作标记待核验,未公开（未获得可支持关键词提取的摘要）,否,"https://dyogatama.github.io/publications.html；论文链接https://openreview.net/pdf?id=91EowxONgIkRlNvXUVog；访问2026-09-17；可见作者原文：“Chong Wang*, Dani Yogatama*, Adam Coates, Tony Han, Awni Hannun, and Bo Xiao.”；共同一作标记待核验。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,A Sparse and Adaptive Prior for Time-Dependent Model Parameters,2015,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://dyogatama.github.io/publications.html；论文链接https://arxiv.org/abs/1310.2627；访问2026-09-17；可见作者原文：“Dani Yogatama, Bryan R. Routledge, and Noah A. Smith.”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Predicting a Scientific Community’s Response to an Article,2011,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/D11-1055/；访问2026-09-17；可见作者原文：“Dani Yogatama, Michael Heilman, Brendan O’Connor, Chris Dyer, Bryan R. Routledge, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Multilingual Spectral Clustering Using Document Similarity Propagation,2009,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/D09-1091/；访问2026-09-17；可见作者原文：“Dani Yogatama, Kumiko Tanaka-Ishii”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Should Neural Network Architecture Reflect Linguistic Structure?,2017,一作（按作者顺序）,分析提取：表示学习；文本生成；强化学习；机器学习；神经网络,否,https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/K17-1001/；访问2026-09-17；可见作者原文：“Chris Dyer”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Chris Dyer,Recurrent Neural Network Grammars,2016,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/N16-1024/；访问2026-09-17；可见作者原文：“Chris Dyer, Adhiguna Kuncoro, Miguel Ballesteros, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Practical Neural Networks for NLP: From Theory to Code,2016,一作（按作者顺序）,分析提取：表示学习；注意力；分类；机器学习；文档处理,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/D16-2001/；访问2026-09-17；可见作者原文：“Chris Dyer, Yoav Goldberg, Graham Neubig”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Transition-Based Dependency Parsing with Stack Long Short-Term Memory,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/P15-1033/；访问2026-09-17；可见作者原文：“Chris Dyer, Miguel Ballesteros, Wang Ling, Austin Matthews, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Book Reviews: Linguistic Fundamentals for Natural Language Processing: 100 Essentials from Morphology and Syntax by Emily M. Bender,2015,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/J15-1007/；访问2026-09-17；可见作者原文：“Chris Dyer”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Chris Dyer,"A Simple, Fast, and Effective Reparameterization of IBM Model 2",2013,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/N13-1073/；访问2026-09-17；可见作者原文：“Chris Dyer, Victor Chahuneau, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,The CMU-ARK German-English Translation System,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/W11-2139/；访问2026-09-17；可见作者原文：“Chris Dyer, Kevin Gimpel, Jonathan H. Clark, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Unsupervised Word Alignment with Arbitrary Features,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/P11-1042/；访问2026-09-17；可见作者原文：“Chris Dyer, Jonathan H. Clark, Alon Lavie, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,"cdec: A Decoder, Alignment, and Learning Framework for Finite-State and Context-Free Translation Models",2010,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/P10-4002/；访问2026-09-17；可见作者原文：“Chris Dyer, Adam Lopez, Juri Ganitkevitch, Jonathan Weese, Ferhan Ture, Phil Blunsom, Hendra Setiawan, Vladimir Eidelman, Philip Resnik”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,"Context-free reordering, finite-state translation",2010,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/N10-1128/；访问2026-09-17；可见作者原文：“Chris Dyer, Philip Resnik”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Two monolingual parses are better than one (synchronous parse),2010,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/N10-1033/；访问2026-09-17；可见作者原文：“Chris Dyer”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Chris Dyer,The University of Maryland Statistical Machine Translation System for the Fourth Workshop on Machine Translation,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/W09-0426/；访问2026-09-17；可见作者原文：“Chris Dyer, Hendra Setiawan, Yuval Marton, Philip Resnik”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chris Dyer,Using a maximum entropy model to build segmentation lattices for MT,2009,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/N09-1046/；访问2026-09-17；可见作者原文：“Chris Dyer”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Chris Dyer,"Fast, Easy, and Cheap: Construction of Statistical Machine Translation Models with MapReduce",未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/chris-dyer/；论文链接https://aclanthology.org/W08-0333/；访问2026-09-17；可见作者原文：“Chris Dyer, Aaron Cordova, Alex Mont, Jimmy Lin”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiangtao Feng,Neural Phrase-to-Phrase Machine Translation,2018,一作（按作者顺序）,分析提取：短语翻译；注意力；动态规划；外部词典；跨域泛化,是,"论文信息汇总.csv 序2：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Neural Phrase-to-Phrase Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.02172；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“In this paper, we propose Neural Phrase-to-Phrase Machine Translation (NP$^2$MT). Our model uses a phrase attention mechanism to discover relevant input (source) segments that are used by a decoder to”。
；一作（按作者顺序）；预印本，等级不适用。"
Jiangtao Feng,ProGen: Progressive Zero-shot Dataset Generation via In-context Feedback,2022,其他作者（共同一作/通讯待核验）,分析提取：数据合成；零样本；任务反馈；上下文示例；渐进生成,是,"论文信息汇总.csv 序95：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ProGen_ Progressive Zero-shot Dataset Generation via In-context Feedback.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.findings-emnlp.269/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Recently, dataset-generation-based zero-shot learning has shown promising results by training a task-specific model with a dataset synthesized from large pre-trained language models (PLMs). The final ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,ZeroGen: Efficient Zero-shot Learning via Dataset Generation,2022,其他作者（共同一作/通讯待核验）,分析提取：零样本；数据生成；知识蒸馏；小模型；高效推理,是,"论文信息汇总.csv 序96：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ZeroGen_ Efficient Zero-shot Learning via Dataset Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.emnlp-main.801/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages 11653–11669”。
原文摘要依据：“There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-sh”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,CoNT: Contrastive Neural Text Generation,2022,其他作者（共同一作/通讯待核验）,分析提取：文本生成；对比学习；暴露偏差；序列级目标；解码,是,"论文信息汇总.csv 序100：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_CoNT_ Contrastive Neural Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2205.14690；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Recently, contrastive learning attracts increasing interests in neural text generation as a new solution to alleviate the exposure bias problem. It introduces a sequence-level training signal which is”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,DiffuSeq-v2: Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models,2023,其他作者（共同一作/通讯待核验）,分析提取：序列生成；扩散模型；软吸收状态；ODE；采样加速,是,"论文信息汇总.csv 序77：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq-v2_ Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-emnlp.660/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Diffusion models have gained prominence in generating high-quality sequences of text. Nevertheless, current approaches predominantly represent discrete text within a continuous diffusion space, which ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,Attentive Multi-Layer Perceptron for Non-autoregressive Generation,2023,其他作者（共同一作/通讯待核验）,分析提取：非自回归；MLP；自适应投影；线性复杂度；序列生成,是,"论文信息汇总.csv 序80：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.09512；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Autoregressive~(AR) generation almost dominates sequence generation for its efficacy. Recently, non-autoregressive~(NAR) generation gains increasing popularity for its efficiency and growing efficacy.”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,Compositional Exemplars for In-context Learning,2023,其他作者（共同一作/通讯待核验）,分析提取：上下文学习；示例子集；行列式点过程；对比学习；组合泛化,是,"论文信息汇总.csv 序87：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Compositional Exemplars for In-context Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05698；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine       7 distinct tasks, including sentiment analysis, paraphrase”。
原文摘要依据：“Large pretrained language models (LMs) have shown impressive In-Context Learning (ICL) ability, where the model learns to do an unseen task via a prompt consisting of input-output examples as the demo”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,CAB: Comprehensive Attention Benchmarking on Long Sequence Modeling,2023,其他作者（共同一作/通讯待核验）,分析提取：高效注意力；长序列；交叉注意力；因果注意力；基准,是,"论文信息汇总.csv 序88：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_CAB_ Comprehensive Attention Benchmarking on Long Sequence Modeling.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.07661；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine           causality modeling. We present four patterns of attentions,”。
原文摘要依据：“Transformer has achieved remarkable success in language, image, and speech processing. Recently, various efficient attention architectures have been proposed to improve transformer's efficiency while ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,DiffuSeq: Sequence to Sequence Text Generation with Diffusion Models,2023,其他作者（共同一作/通讯待核验）,分析提取：文本扩散；条件生成；序列到序列；多样性；非自回归,是,"论文信息汇总.csv 序93：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq_ Sequence to Sequence Text Generation with Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.08933；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2023”。
原文摘要依据：“Recently, diffusion models have emerged as a new paradigm for generative models. Despite the success in domains using continuous signals such as vision and audio, adapting diffusion models to natural ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiangtao Feng,In-Context Learning with Many Demonstration Examples,2023,其他作者（共同一作/通讯待核验）,分析提取：上下文学习；多样例；长上下文；指令微调；长度外推,是,"论文信息汇总.csv 序134：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_In-Context Learning with Many Demonstration Examples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04931；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and co”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jiangtao Feng,Optimizing Non-Autoregressive Transformers with Contrastive Learning,2023,其他作者（共同一作/通讯待核验）,分析提取：非自回归；对比学习；模型分布；并行生成；多模态分布,是,"论文信息汇总.csv 序136：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Optimizing Non-Autoregressive Transformers with Contrastive Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.13667；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Non-autoregressive Transformers (NATs) reduce the inference latency of Autoregressive Transformers (ATs) by predicting words all at once rather than in sequential order. They have achieved remarkable ”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jiangtao Feng,Linear Attention via Orthogonal Memory,2023,其他作者（共同一作/通讯待核验）,分析提取：线性注意力；正交记忆；因果建模；局部信息；长度外推,是,"论文信息汇总.csv 序142：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11135；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Efficient attentions have greatly improved the computational efficiency of Transformers. However, most existing linear attention mechanisms suffer from an \emph{efficiency degradation} problem, leadin”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jiangtao Feng,R3: End-to-End Reasoning-based Planning for Multi-step Retrosynthesis via Reinforcement Learning,2026,其他作者（非合著代表）,分析提取：推理；强化学习；机器学习,否,"https://aclanthology.org/people/jiangtao-feng/unverified/；论文链接https://aclanthology.org/2026.acl-long.1745/；访问2026-09-17；可见作者原文：“YiFei Wang, Qizhi Pei, Jiangtao Feng, Yuntian Shi, Yi Duan, Lihao Wang, Lei Bai, Lijun Wu, Wei-Ying Ma, Hao Zhou”；其他作者（非合著代表）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Overview of the 2014 NLP Unshared Task in PoliInformatics,2014,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/W14-2505/；访问2026-09-17；可见作者原文：“Noah A. Smith, Claire Cardie, Anne Washington, John Wilkerson”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Book Reviews: Computational Approaches to Morphology and Syntax by Brian Roark and Richard Sproat,2008,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/J08-3007/；访问2026-09-17；可见作者原文：“Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Noah A. Smith,Computationally Efficient M-Estimation of Log-Linear Structure Models,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/P07-1095/；访问2026-09-17；可见作者原文：“Noah A. Smith, Douglas L. Vail, John D. Lafferty”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Weighted and Probabilistic Context-Free Grammars Are Equally Expressive,2007,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/J07-4003/；访问2026-09-17；可见作者原文：“Noah A. Smith, Mark Johnson”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Annealing Structural Bias in Multilingual Weighted Grammar Induction,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/P06-1072/；访问2026-09-17；可见作者原文：“Noah A. Smith, Jason Eisner”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Contrastive Estimation: Training Log-Linear Models on Unlabeled Data,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/P05-1044/；访问2026-09-17；可见作者原文：“Noah A. Smith, Jason Eisner”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Context-Based Morphological Disambiguation with Random Fields,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/H05-1060/；访问2026-09-17；可见作者原文：“Noah A. Smith, David A. Smith, Roy W. Tromble”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Noah A. Smith,Annealing Techniques For Unsupervised Statistical Language Learning,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/P04-1062/；访问2026-09-17；可见作者原文：“Noah A. Smith, Jason Eisner”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
