序号,导师姓名,论文标题,年份,尝试过的链接,失败原因,下一步建议
P7-R,"Kong, Lingpeng",An Empirical Comparison of Parsing Methods for Stanford Dependencies,2014,"https://arxiv.org/pdf/1404.4314.pdf
http://www.cs.cmu.edu/~ark/TBSD/
https://arxiv.org/abs/1404.4314",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P8-C,"Kong, Lingpeng",A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,https://arxiv.org/abs/2412.03920,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P8-A,"Kong, Lingpeng",A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,https://arxiv.org/abs/2412.03920,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P8-R,"Kong, Lingpeng",A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,https://arxiv.org/abs/2412.03920,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P9-C,"Kong, Lingpeng",Autoregressive Models in Vision: A Survey,2025,https://arxiv.org/abs/2411.05902,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P9-A,"Kong, Lingpeng",Autoregressive Models in Vision: A Survey,2025,https://arxiv.org/abs/2411.05902,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P10-C,"Kong, Lingpeng",Linearized Relative Positional Encoding,2023,https://arxiv.org/abs/2307.09270,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P10-A,"Kong, Lingpeng",Linearized Relative Positional Encoding,2023,https://arxiv.org/abs/2307.09270,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P10-F,"Kong, Lingpeng",Linearized Relative Positional Encoding,2023,https://arxiv.org/abs/2307.09270,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P11-C,"Kong, Lingpeng",Vicinity Vision Transformer,2023,https://arxiv.org/abs/2206.10552,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P11-D,"Kong, Lingpeng",Vicinity Vision Transformer,2023,https://arxiv.org/pdf/2206.10552,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2023_Vicinity Vision Transformer.pdf.part https://arxiv.org/pdf/2206.10552
curl: (28) Operation timed out after 35002 milliseconds with 1716698 out of 547；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P11-A,"Kong, Lingpeng",Vicinity Vision Transformer,2023,https://arxiv.org/abs/2206.10552,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P11-R,"Kong, Lingpeng",Vicinity Vision Transformer,2023,https://arxiv.org/abs/2206.10552,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P11-F,"Kong, Lingpeng",Vicinity Vision Transformer,2023,https://arxiv.org/abs/2206.10552,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P12-C,"Kong, Lingpeng",Adaptive Semiparametric Language Models,2021,"https://aclanthology.org/2021.tacl-1.22/
https://arxiv.org/pdf/2102.02557.pdf
https://arxiv.org/abs/2102.02557",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P12-A,"Kong, Lingpeng",Adaptive Semiparametric Language Models,2021,"https://aclanthology.org/2021.tacl-1.22/
https://arxiv.org/pdf/2102.02557.pdf
https://arxiv.org/abs/2102.02557",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P12-R,"Kong, Lingpeng",Adaptive Semiparametric Language Models,2021,"https://aclanthology.org/2021.tacl-1.22/
https://arxiv.org/pdf/2102.02557.pdf
https://arxiv.org/abs/2102.02557",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P13-C,"Kong, Lingpeng",Syntactic Structure Distillation Pretraining for Bidirectional Encoders,2020,"https://aclanthology.org/2020.tacl-1.50/
https://arxiv.org/pdf/2005.13482.pdf
https://arxiv.org/abs/2005.13482",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P13-A,"Kong, Lingpeng",Syntactic Structure Distillation Pretraining for Bidirectional Encoders,2020,"https://aclanthology.org/2020.tacl-1.50/
https://arxiv.org/pdf/2005.13482.pdf
https://arxiv.org/abs/2005.13482",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P13-R,"Kong, Lingpeng",Syntactic Structure Distillation Pretraining for Bidirectional Encoders,2020,"https://aclanthology.org/2020.tacl-1.50/
https://arxiv.org/pdf/2005.13482.pdf
https://arxiv.org/abs/2005.13482",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P14-C,"Kong, Lingpeng",Better Document-Level Machine Translation with Bayes’ Rule,2020,"https://aclanthology.org/2020.tacl-1.23/
https://arxiv.org/pdf/1910.00553.pdf
https://arxiv.org/abs/1910.00553",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P14-A,"Kong, Lingpeng",Better Document-Level Machine Translation with Bayes’ Rule,2020,"https://aclanthology.org/2020.tacl-1.23/
https://arxiv.org/pdf/1910.00553.pdf
https://arxiv.org/abs/1910.00553",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P14-R,"Kong, Lingpeng",Better Document-Level Machine Translation with Bayes’ Rule,2020,"https://aclanthology.org/2020.tacl-1.23/
https://arxiv.org/pdf/1910.00553.pdf
https://arxiv.org/abs/1910.00553",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P15-C,"Kong, Lingpeng",End-to-End Neural Segmental Models for Speech Recognition,2017,"https://arxiv.org/pdf/1708.00531.pdf
https://arxiv.org/abs/1708.00531",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P15-A,"Kong, Lingpeng",End-to-End Neural Segmental Models for Speech Recognition,2017,"https://arxiv.org/pdf/1708.00531.pdf
https://arxiv.org/abs/1708.00531",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P15-R,"Kong, Lingpeng",End-to-End Neural Segmental Models for Speech Recognition,2017,"https://arxiv.org/pdf/1708.00531.pdf
https://arxiv.org/abs/1708.00531",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P15-F,"Kong, Lingpeng",End-to-End Neural Segmental Models for Speech Recognition,2017,"https://arxiv.org/pdf/1708.00531.pdf
https://arxiv.org/abs/1708.00531",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P16-C,"Kong, Lingpeng",ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,https://arxiv.org/abs/2505.19897,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P16-D,"Kong, Lingpeng",ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,https://arxiv.org/pdf/2505.19897,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2026_ScienceBoard_ Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows.pdf.part https://arxiv.org/pdf/2505.19897
curl: (28) Operatio；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P16-A,"Kong, Lingpeng",ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,https://arxiv.org/abs/2505.19897,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P16-R,"Kong, Lingpeng",ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,https://arxiv.org/abs/2505.19897,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P16-F,"Kong, Lingpeng",ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,https://arxiv.org/abs/2505.19897,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P17-C,"Kong, Lingpeng",SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,2026,https://arxiv.org/abs/2505.23932,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P17-R,"Kong, Lingpeng",SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,2026,https://arxiv.org/abs/2505.23932,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P17-V,"Kong, Lingpeng",SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,2026,https://arxiv.org/abs/2505.23932,标题和完整作者顺序采用arXiv:2505.23932v3（2026-03-08）首页；CV和API旧名单中的Zhuoqing Mao不直接等同于Z. Morley Mao；新增Bei Yu、Quanquan Gu。首页标明ICLR 2026。；核验日期2026-09-17,保留原始版本和本次核对记录；需要精确复现时使用同一正式版本
P18-C,"Kong, Lingpeng",PERSONA: Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra,2026,https://arxiv.org/abs/2602.15669,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P19-C,"Kong, Lingpeng",ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2026,https://arxiv.org/abs/2509.15148,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P19-A,"Kong, Lingpeng",ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2026,https://arxiv.org/abs/2509.15148,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P19-R,"Kong, Lingpeng",ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2026,https://arxiv.org/abs/2509.15148,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P20-C,"Kong, Lingpeng",DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,https://arxiv.org/abs/2506.20639,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P20-D,"Kong, Lingpeng",DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,https://arxiv.org/pdf/2506.20639,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2026_DiffuCoder_ Understanding and Improving Masked Diffusion Models for Code Generation.pdf.part https://arxiv.org/pdf/2506.20639
curl: (28) Operation ti；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P20-A,"Kong, Lingpeng",DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,https://arxiv.org/abs/2506.20639,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P20-R,"Kong, Lingpeng",DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,https://arxiv.org/abs/2506.20639,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P20-F,"Kong, Lingpeng",DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,https://arxiv.org/abs/2506.20639,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P21-C,"Kong, Lingpeng",MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,https://arxiv.org/abs/2508.21475,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P21-D,"Kong, Lingpeng",MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,https://arxiv.org/pdf/2508.21475,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2026_MMSearch-Plus_ Benchmarking Provenance-Aware Search for Multimodal Browsing Agents.pdf.part https://arxiv.org/pdf/2508.21475
curl: (28) Operation tim；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P21-A,"Kong, Lingpeng",MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,https://arxiv.org/abs/2508.21475,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P21-R,"Kong, Lingpeng",MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,https://arxiv.org/abs/2508.21475,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P21-F,"Kong, Lingpeng",MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,https://arxiv.org/abs/2508.21475,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P22-C,"Kong, Lingpeng",DreamOn: Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas,2026,"https://hkunlp.github.io/blog/2025/dreamon
https://arxiv.org/abs/2602.01326",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P23-C,"Kong, Lingpeng",TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,https://arxiv.org/abs/2503.16929,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P23-D,"Kong, Lingpeng",TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,https://arxiv.org/pdf/2503.16929,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2026_TEMPLE_Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment.pdf.part https://arxiv.org/pdf/2503.16929
curl: (28；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P23-A,"Kong, Lingpeng",TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,https://arxiv.org/abs/2503.16929,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P23-R,"Kong, Lingpeng",TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,https://arxiv.org/abs/2503.16929,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P23-F,"Kong, Lingpeng",TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,https://arxiv.org/abs/2503.16929,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P24-C,"Kong, Lingpeng",TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,https://arxiv.org/abs/2503.17195,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P24-D,"Kong, Lingpeng",TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,https://arxiv.org/pdf/2503.17195,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2025_TreeSynth_ Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning.pdf.part https://arxiv.org/pdf/2503.17195
curl: (28) Operatio；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P24-A,"Kong, Lingpeng",TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,https://arxiv.org/abs/2503.17195,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P24-R,"Kong, Lingpeng",TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,https://arxiv.org/abs/2503.17195,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P24-F,"Kong, Lingpeng",TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,https://arxiv.org/abs/2503.17195,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P25-C,"Kong, Lingpeng",DynaAct: Large Language Model Reasoning with Dynamic Action Spaces,2025,"https://neurips.cc/virtual/2025/poster/118067
https://arxiv.org/abs/2511.08043",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P25-F,"Kong, Lingpeng",DynaAct: Large Language Model Reasoning with Dynamic Action Spaces,2025,"https://neurips.cc/virtual/2025/poster/118067
https://arxiv.org/abs/2511.08043",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P26-C,"Kong, Lingpeng",Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,2025,https://aclanthology.org/2025.emnlp-main.1751/,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
