姓名,论文署名单位,当前单位,身份,职称,与导师的关系,共同论文数,首次合作年份,最近合作年份,共同研究方向,共同项目,关系证据,待核验问题,共同论文序号
Wang Ling（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/wang-ling/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Wang Ling（论文 #3，身份待核验）,2018；论文#3；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/wang-ling/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P3-C;P3-A;P3-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",3
Wang Ling（论文 #14，身份待核验）,2020；论文#14；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,机器翻译,未公开,"论文信息汇总.csv 序14：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Better Document-Level Machine Translation with Bayes’ Rule.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.23/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We show that Bayes’ rule provides an effective mechanism for creating document translation models that can be learned from only parallel sentences and monolingual documents a compelling benefit becaus”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/wang-ling/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P14-C;P14-A;P14-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",14
Wang Ling（论文 #114，身份待核验）,2020；论文#114；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序114：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_A Mutual Information Maximization Perspective of Language Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1910.08350；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We show state-of-the-art word representation learning methods maximize an objective function that is a lower bound on the mutual information between different parts of a word sequence (i.e., a sentenc”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/wang-ling/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P114-C;P114-A;P114-R;P114-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",114
Wang Ling（论文 #116，身份待核验）,2019；论文#116；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言建模与记忆,未公开,"论文信息汇总.csv 序116：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Variational Smoothing in Recurrent Neural Network Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.09296；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2019”。
原文摘要依据：“We present a new theoretical perspective of data noising in recurrent neural network language models (Xie et al., 2017). We show that each variant of data noising is an instance of Bayesian recurrent ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/wang-ling/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P116-C;P116-A;P116-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",116
Lei Yu（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Lei Yu（论文 #3，身份待核验）,2018；论文#3；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P3-C;P3-A;P3-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",3
Lei Yu（论文 #14，身份待核验）,2020；论文#14；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,机器翻译,未公开,"论文信息汇总.csv 序14：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Better Document-Level Machine Translation with Bayes’ Rule.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.23/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We show that Bayes’ rule provides an effective mechanism for creating document translation models that can be learned from only parallel sentences and monolingual documents a compelling benefit becaus”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P14-C;P14-A;P14-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",14
Lei Yu（论文 #59，身份待核验）,2024；论文#59；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,扩散文本生成,未公开,"论文信息汇总.csv 序59：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_A Reparameterized Discrete Diffusion Model for Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05737；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“This work studies discrete diffusion probabilistic models with applications to natural language generation. We derive an alternative yet equivalent formulation of the sampling from discrete diffusion ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P59-C;P59-R;P59-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",59
Lei Yu（论文 #114，身份待核验）,2020；论文#114；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序114：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_A Mutual Information Maximization Perspective of Language Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1910.08350；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We show state-of-the-art word representation learning methods maximize an objective function that is a lower bound on the mutual information between different parts of a word sequence (i.e., a sentenc”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P114-C;P114-A;P114-R;P114-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",114
Lei Yu（论文 #116，身份待核验）,2019；论文#116；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言建模与记忆,未公开,"论文信息汇总.csv 序116：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Variational Smoothing in Recurrent Neural Network Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.09296；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2019”。
原文摘要依据：“We present a new theoretical perspective of data noising in recurrent neural network language models (Xie et al., 2017). We show that each variant of data noising is an instance of Bayesian recurrent ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/lei-yu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P116-C;P116-A;P116-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",116
Chris Dyer,"2014；论文#124；卡内基梅隆大学
2016；论文#119；卡内基梅隆大学
2016；论文#120；卡内基梅隆大学；Google DeepMind
2016；论文#121；卡内基梅隆大学
2016；论文#129；卡内基梅隆大学
2017；论文#6；待核验
2017；论文#15；待核验
2017；论文#117；Google DeepMind
2017；论文#118；卡内基梅隆大学；Google DeepMind
2018；论文#3；Google DeepMind
2019；论文#1；Google DeepMind
2020；论文#13；Google DeepMind
2020；论文#14；Google DeepMind",未公开,2017博士论文委员会共同主席；共同论文署名CMU与DeepMind,当前职称待核验,导师—学生（孔令鹏为学生）,13,2014,2020,句法分析与结构化表示；语音识别与分段建模；语言建模与记忆；神经网络工具；语言迁移与学习能力评测；机器翻译,未公开,https://ikekonglp.github.io/lingpenk_cv.pdf；访问2026-09-17；原文依据：“Chris Dyer (co-chair)”。历史指导/时间另见https://ikekonglp.github.io/lingpenk_cv.pdf第1-2页（版本2026-01-27）；校友更新见https://hkunlp.github.io/people/。核验状态：公开身份部分确认；局限见待核验问题。,"导师关系依据CV；当前职称、部门与任职时间未核验。
具体论文问题：P124-C;P124-A;P124-R;P119-C;P119-A;P119-R;P119-F;P120-C;P120-A;P120-R;P121-C;P121-A;P121-R;P129-C;P129-A;P129-R;P6-C;P6-A;P6-R;P15-C;P15-A;P15-R;P15-F;P117-C;P117-A;P117-R;P117-F;P118-C;P118-A;P118-R;P3-C;P3-A;P3-R;P1-C;P1-A;P1-R;P13-C;P13-A;P13-R;P14-C;P14-A;P14-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。;CP16;CP17;CP18;CP19;CP20;CP21;CP22;CP23;CP24;CP25;CP26;CP27;CP28;CP29",124;119;120;121;129;6;15;117;118;3;1;13;14
Phil Blunsom（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/phil-blunsom/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Phil Blunsom（论文 #3，身份待核验）,2018；论文#3；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/phil-blunsom/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P3-C;P3-A;P3-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",3
