序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
11,Vicinity Vision Transformer,2023,Weixuan Sun；Zhen Qin；Hui Deng；Jianyuan Wang；Yi Zhang；Kaihao Zhang；Nick Barnes；Stan Birchfield；Lingpeng Kong；Yiran Zhong,TPAMI,期刊,https://arxiv.org/abs/2206.10552,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序11：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2206.10552；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Vision transformers have shown great success on numerous computer vision tasks. However, its central component, softmax attention, prohibits vision transformers from scaling up to high-resolution imag”。"
12,Adaptive Semiparametric Language Models,2021,Dani Yogatama；Cyprien de Masson d’Autume；Lingpeng Kong,"Transactions of the Association for Computational Linguistics, Volume 9",期刊,"https://aclanthology.org/2021.tacl-1.22/
https://arxiv.org/pdf/2102.02557.pdf
https://arxiv.org/abs/2102.02557",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序12：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Adaptive Semiparametric Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.tacl-1.22/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We present a language model that combines a large parametric neural network (i.e., a transformer) with a non-parametric episodic memory component in an integrated architecture. Our model uses extended”。"
13,Syntactic Structure Distillation Pretraining for Bidirectional Encoders,2020,Adhiguna Kuncoro；Lingpeng Kong；Daniel Fried；Dani Yogatama；Laura Rimell；Chris Dyer；Phil Blunsom,"Transactions of the Association for Computational Linguistics, Volume 8",期刊,"https://aclanthology.org/2020.tacl-1.50/
https://arxiv.org/pdf/2005.13482.pdf
https://arxiv.org/abs/2005.13482",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序13：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Syntactic Structure Distillation Pretraining for Bidirectional Encoders.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.50/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Textual representation learners trained on large amounts of data have achieved notable success on downstream tasks; intriguingly, they have also performed well on challenging tests of syntactic compet”。"
14,Better Document-Level Machine Translation with Bayes’ Rule,2020,Lei Yu；Laurent Sartran；Wojciech Stokowiec；Wang Ling；Lingpeng Kong；Phil Blunsom；Chris Dyer,"Transactions of the Association for Computational Linguistics, Volume 8",期刊,"https://aclanthology.org/2020.tacl-1.23/
https://arxiv.org/pdf/1910.00553.pdf
https://arxiv.org/abs/1910.00553",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序14：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_Better Document-Level Machine Translation with Bayes’ Rule.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2020.tacl-1.23/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We show that Bayes’ rule provides an effective mechanism for creating document translation models that can be learned from only parallel sentences and monolingual documents a compelling benefit becaus”。"
15,End-to-End Neural Segmental Models for Speech Recognition,2017,Hao Tang；Liang Lu；Lingpeng Kong；Kevin Gimpel；Karen Livescu；Chris Dyer；Noah A. Smith；Steve Renals,Peer-refereed conference publications,期刊,"https://arxiv.org/pdf/1708.00531.pdf
https://arxiv.org/abs/1708.00531",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序15：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_End-to-End Neural Segmental Models for Speech Recognition.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1708.00531；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Segmental models are an alternative to frame-based models for sequence prediction, where hypothesized path weights are based on entire segment scores rather than a single frame at a time. Neural segme”。"
16,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,Qiushi Sun；Zhoumianze Liu；Chang Ma；Zichen Ding；Fangzhi Xu；Zhangyue Yin；Haiteng Zhao；Zhenyu Wu；Kanzhi Cheng；Zhaoyang Liu；Jianing Wang；Qintong Li；Xiangru Tang；Tianbao Xie；Xiachong Feng；Lingpeng Kong,ICLR 2026,会议,https://arxiv.org/abs/2505.19897,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序16：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2505.19897；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents ha”。"
17,SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,2026,Wendong Xu；Jing Xiong；Chenyang Zhao；Qiujiang Chen；Haoran Wang；Hui Shen；Zhongwei Wan；Jianbo Dai；Taiqiang Wu；He Xiao；Chaofan Tao；Z. Morley Mao；Ying Sheng；Zhijiang Guo；Hongxia Yang；Bei Yu；Lingpeng Kong；Quanquan Gu；Ngai Wong,ICLR 2026,会议,https://arxiv.org/abs/2505.23932,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
标题和完整作者顺序采用arXiv:2505.23932v3（2026-03-08）首页；CV和API旧名单中的Zhuoqing Mao不直接等同于Z. Morley Mao；新增Bei Yu、Quanquan Gu。首页标明ICLR 2026。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序17：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_SwingArena_ Adversarial Programming Arena for Long-Context GitHub Issue Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2505.23932；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“We present SwingArena, a competitive evaluation framework for Large Language Models (LLMs) that closely mirrors real-world software development workflows. Unlike traditional static benchmarks, SwingAr”。"
18,PERSONA: Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra,2026,Xiachong Feng；Liang Zhao；Weihong Zhong；Yichong Huang；Yuxuan Gu；Lingpeng Kong；Xiaocheng Feng；Bing Qin,ICLR 2026,会议,https://arxiv.org/abs/2602.15669,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序18：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_PERSONA_ Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.15669；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Current methods for personality control in Large Language Models rely on static prompting or expensive fine-tuning, failing to capture the dynamic and compositional nature of human traits. We introduc”。"
19,ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2026,Jing Xiong；Qiujiang Chen；Fanghua Ye；Zhongwei Wan；Chuanyang Zheng；Chenyang Zhao；Hui Shen；Alexander Hanbo Li；Chaofan Tao；Haochen Tan；Haoli Bai；Lifeng Shang；Lingpeng Kong；Ngai Wong,ICLR 2026,会议,https://arxiv.org/abs/2509.15148,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序19：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_ATTS_ Asynchronous Test-Time Scaling via Conformal Prediction.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.15148；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Large language models (LLMs) benefit from test-time scaling but are often hampered by high inference latency. Speculative decoding is a natural way to accelerate the scaling process; however, scaling ”。"
20,DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,2026,Shansan Gong；Ruixiang Zhang；Huangjie Zheng；Jiatao Gu；Navdeep Jaitly；Lingpeng Kong；Yizhe Zhang,ICLR 2026,会议,https://arxiv.org/abs/2506.20639,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序20：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2506.20639；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Diffusion large language models (dLLMs) are compelling alternatives to autoregressive (AR) models because their denoising models operate over the entire sequence. The global planning and iterative ref”。"
21,MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,2026,Xijia Tao；Yihua Teng；Xinxing Su；Xinyu Fu；Jihao Wu；Chaofan Tao；Ziru Liu；Haoli Bai；Rui Liu；Lingpeng Kong,ICLR 2026,会议,https://arxiv.org/abs/2508.21475,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序21：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2508.21475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Existing multimodal browsing benchmarks often fail to require genuine multimodal reasoning, as many tasks can be solved with text-only heuristics without vision-in-the-loop verification. We introduce ”。"
22,DreamOn: Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas,2026,Zirui Wu；Lin Zheng；Zhihui Xie；Jiacheng Ye；Jiahui Gao；Shansan Gong；Yansong Feng；Zhenguo Li；Wei Bi；Guorui Zhou；Lingpeng Kong,ICLR 2026,会议,"https://hkunlp.github.io/blog/2025/dreamon
https://arxiv.org/abs/2602.01326",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序22：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_DreamOn_ Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.01326；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Diffusion Language Models (DLMs) present a compelling alternative to autoregressive models, offering flexible, any-order infilling without specialized prompting design. However, their practical utilit”。"
23,TEMPLE:Temporal Preference Learning of Video LLMs via Difficulty Scheduling and Pre-SFT Alignment,2026,Shicheng Li；Lei Li；Kun Ouyang；Shuhuai Ren；Yuanxin Liu；Yuanxing Zhang；Fuzheng Zhang；Lingpeng Kong；Qi Liu；Xu Sun,AAAI 2026,会议,https://arxiv.org/abs/2503.16929,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
版本归并：原候选序152并入序23；候选标题“TEMPLE: Incentivizing Temporal Understanding of Video Large Language Models via Progressive Pre-SFT Alignment”；依据：相同arXiv编号与作者名单。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序23：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2503.16929；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Video Large Language Models (Video LLMs) have achieved significant success by adopting the paradigm of large-scale pre-training followed by supervised fine-tuning (SFT). However, existing approaches s”。"
24,TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,Sheng Wang；Pengan Chen；Jingqi Zhou；Qintong Li；Jingwei Dong；Jiahui Gao；Boyang Xue；Jiyue Jiang；Lingpeng Kong；Chuan Wu,NeurIPS 2025,会议,https://arxiv.org/abs/2503.17195,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序24：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2503.17195；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Model customization necessitates high-quality and diverse datasets, but acquiring such data remains time-consuming and labor-intensive. Despite the great potential of large language models (LLMs) for ”。"
25,DynaAct: Large Language Model Reasoning with Dynamic Action Spaces,2025,Xueliang Zhao；Wei Wu；Jian Guan；Qintong Li；Lingpeng Kong,NeurIPS 2025,会议,"https://neurips.cc/virtual/2025/poster/118067
https://arxiv.org/abs/2511.08043",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序25：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_DynaAct_ Large Language Model Reasoning with Dynamic Action Spaces.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2511.08043；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“In modern sequential decision-making systems, the construction of an optimal candidate action space is critical to efficient inference. However, existing approaches either rely on manually defined act”。"
