序,年份,文章阶段（发表/预印本）,是否为一作/通讯,文章标题,被引次数,引用统计日期,引用来源网址,摘要,关键词,研究方向,研究内容,创新点,合作者姓名及其工作单位
36,2025,发表,一作 = 否（按作者顺序）；通讯 = 否,Teaching Language Models to Critique via Reinforcement Learning,未获取,未获取,未获取,"Teaching large language models (LLMs) to critique and refine their outputs is crucial for building systems that can iteratively improve, yet it is fundamentally limited by the ability to provide accurate judgments and actionable suggestions. In this work, we study LLM critics for code generation and propose $\texttt{CTRL}$, a framework for $\texttt{C}$ritic $\texttt{T}$raining via $\texttt{R}$einforcement $\texttt{L}$earning, which trains a critic model to generate feedback that maximizes correction performance for a fixed generator model without human supervision. Our results demonstrate that critics trained with $\texttt{CTRL}$ significantly enhance pass rates and mitigate compounding errors across both base and stronger generator models. Furthermore, we show that these critic models act as accurate generative reward models and enable test-time scaling through iterative critique-revision, achieving up to 106.1% relative improvements across challenging code generation benchmarks.",分析提取：代码生成；批评反馈；强化学习；迭代修正；奖励模型,代码生成与纠错,"研究问题：如何训练能真正帮助代码修正的批评模型？
采用方法：CTRL通过强化学习最大化固定生成器的纠错收益。",无需人工反馈训练批评者，并支持迭代修正及测试时扩展。,"Zhihui Xie：香港大学
Jie chen：字节跳动Seed
Liyu Chen：字节跳动Seed
Weichao Mao：字节跳动Seed
Jingjing Xu：字节跳动Seed"
37,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,ParallelComp: Parallel Long-Context Compressor for Length Extrapolation,未获取,未获取,未获取,"Extrapolating ultra-long contexts (text length >128K) remains a major challenge for large language models (LLMs), as most training-free extrapolation methods are not only severely limited by memory bottlenecks, but also suffer from the attention sink, which restricts their scalability and effectiveness in practice. In this work, we propose ParallelComp, a parallel long-context compression method that effectively overcomes the memory bottleneck, enabling 8B-parameter LLMs to extrapolate from 8K to 128K tokens on a single A100 80GB GPU in a training-free setting. ParallelComp splits the input into chunks, dynamically evicting redundant chunks and irrelevant tokens, supported by a parallel KV cache eviction mechanism. Importantly, we present a systematic theoretical and empirical analysis of attention biases in parallel attention-including the attention sink, recency bias, and middle bias-and reveal that these biases exhibit distinctive patterns under ultra-long context settings. We further design a KV cache eviction technique to mitigate this phenomenon. Experimental results show that ParallelComp enables an 8B model (trained on 8K context) to achieve 91.17% of GPT-4's performance under ultra-long contexts, outperforming closed-source models such as Claude-2 and Kimi-Chat. We achieve a 1.76x improvement in chunk throughput, thereby achieving a 23.50x acceleration in the prefill stage with negligible performance loss and pave the way for scalable and robust ultra-long contexts extrapolation in LLMs. We release the code at https://github.com/menik1126/ParallelComp.",分析提取：上下文外推；并行压缩；KV淘汰；注意力偏置；预填充,长上下文建模与压缩,"研究问题：无需训练的超长上下文扩展如何克服内存和注意力偏置？
采用方法：并行分块压缩与KV淘汰，并分析注意力汇聚、近因和中部偏置。",使短窗口模型在单卡上处理更长上下文，并提升预填充效率。,"Jing Xiong：待核验
Jianghan Shen：待核验
Chuanyang Zheng：待核验
Zhongwei Wan：待核验
Chenyang Zhao：待核验
Chiwun Yang：待核验
Fanghua Ye：待核验
Hongxia Yang：待核验
Ngai Wong：待核验"
38,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,VL-RewardBench: A Challenging Benchmark for Vision-Language Generative Reward Models,未获取,未获取,未获取,"Vision-language generative reward models (VL-GenRMs) play a crucial role in aligning and evaluating multimodal AI systems, yet their own evaluation remains under-explored. Current assessment methods primarily rely on AI-annotated preference labels from traditional VL tasks, which can introduce biases and often fail to effectively challenge state-of-the-art models. To address these limitations, we introduce VL-RewardBench, a comprehensive benchmark spanning general multimodal queries, visual hallucination detection, and complex reasoning tasks. Through our AI-assisted annotation pipeline that combines sample selection with human verification, we curate 1,250 high-quality examples specifically designed to probe VL-GenRMs limitations. Comprehensive evaluation across 16 leading large vision-language models demonstrates VL-RewardBench's effectiveness as a challenging testbed, where even GPT-4o achieves only 65.4% accuracy, and state-of-the-art open-source models such as Qwen2-VL-72B, struggle to surpass random-guessing. Importantly, performance on VL-RewardBench strongly correlates (Pearson's r $>$ 0.9) with MMMU-Pro accuracy using Best-of-N sampling with VL-GenRMs. Analysis experiments uncover three critical insights for improving VL-GenRMs: (i) models predominantly fail at basic visual perception tasks rather than reasoning tasks; (ii) inference-time scaling benefits vary dramatically by model capacity; and (iii) training VL-GenRMs to learn to judge substantially boosts judgment capability (+14.7% accuracy for a 7B VL-GenRM). We believe VL-RewardBench along with the experimental insights will become a valuable resource for advancing VL-GenRMs.",分析提取：视觉奖励模型；偏好判断；人工核验；幻觉检测；Best-of-N,模型评价与奖励学习,"研究问题：视觉语言生成式奖励模型的判断是否可靠？
采用方法：构建1250个经人工核验的偏好样本，覆盖视觉幻觉和复杂推理。",识别奖励判断中的视觉感知瓶颈，并关联基准表现与Best-of-N收益。,"Lei Li：香港大学
Yuancheng Wei：华南理工大学
Zhihui Xie：香港大学
Xuqing Yang：上海交通大学
Yifan Song：北京大学
Peiyi Wang：北京大学
Chenxin An：香港大学
Tianyu Liu：北京大学
Sujian Li：北京大学
Bill Yuchen Lin：华盛顿大学；Allen AI
Qi Liu：香港大学"
39,2025,发表,一作 = 否（按作者顺序）；通讯 = 是,Jailbreaking as a Reward Misspecification Problem,未获取,未获取,未获取,"The widespread adoption of large language models (LLMs) has raised concerns about their safety and reliability, particularly regarding their vulnerability to adversarial attacks. In this paper, we propose a novel perspective that attributes this vulnerability to reward misspecification during the alignment process. This misspecification occurs when the reward function fails to accurately capture the intended behavior, leading to misaligned model outputs. We introduce a metric ReGap to quantify the extent of reward misspecification and demonstrate its effectiveness and robustness in detecting harmful backdoor prompts. Building upon these insights, we present ReMiss, a system for automated red teaming that generates adversarial prompts in a reward-misspecified space. ReMiss achieves state-of-the-art attack success rates on the AdvBench benchmark against various target aligned LLMs while preserving the human readability of the generated prompts. Furthermore, these attacks on open-source models demonstrate high transferability to closed-source models like GPT-4o and out-of-distribution tasks from HarmBench. Detailed analysis highlights the unique advantages of the proposed reward misspecification objective compared to previous methods, offering new insights for improving LLM safety and robustness.",分析提取：模型安全；奖励错设；对齐；红队评测；对抗鲁棒性,模型安全与可靠性,"研究问题：语言模型的对抗脆弱性与奖励函数错设有何关系？
采用方法：提出ReGap度量，并在奖励错设空间开展自动化红队评测。",提供理解对齐漏洞及攻击迁移性的分析视角。,"Zhihui Xie：香港大学
Jiahui Gao：香港大学
Lei Li：香港大学
Zhenguo Li：华为诺亚方舟实验室
Qi Liu：香港大学"
40,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Temporal Reasoning Transfer from Text to Video,未获取,未获取,未获取,"Video Large Language Models (Video LLMs) have shown promising capabilities in video comprehension, yet they struggle with tracking temporal changes and reasoning about temporal relationships. While previous research attributed this limitation to the ineffective temporal encoding of visual inputs, our diagnostic study reveals that video representations contain sufficient information for even small probing classifiers to achieve perfect accuracy. Surprisingly, we find that the key bottleneck in Video LLMs' temporal reasoning capability stems from the underlying LLM's inherent difficulty with temporal concepts, as evidenced by poor performance on textual temporal question-answering tasks. Building on this discovery, we introduce the Textual Temporal reasoning Transfer (T3). T3 synthesizes diverse temporal reasoning tasks in pure text format from existing image-text datasets, addressing the scarcity of video samples with complex temporal scenarios. Remarkably, without using any video data, T3 enhances LongVA-7B's temporal understanding, yielding a 5.3 absolute accuracy improvement on the challenging TempCompass benchmark, which enables our model to outperform ShareGPT4Video-8B trained on 28,000 video samples. Additionally, the enhanced LongVA-7B model achieves competitive performance on comprehensive video benchmarks. For example, it achieves a 49.7 accuracy on the Temporal Reasoning task of Video-MME, surpassing powerful large-scale models such as InternVL-Chat-V1.5-20B and VILA1.5-40B. Further analysis reveals a strong correlation between textual and video temporal task performance, validating the efficacy of transferring temporal reasoning abilities from text to video domains.",分析提取：时序推理；跨模态迁移；诊断探针；文本合成；视频理解,视频时序理解,"研究问题：视频模型的时序推理瓶颈来自视觉编码还是语言能力？
采用方法：用诊断探针分析表示，并合成纯文本时序任务进行迁移训练。",无需视频训练数据即可提升视频时间关系理解，显示跨模态时序能力联系。,"Lei Li：待核验
Yuanxin Liu：待核验
Linli Yao：待核验
Peiyuan Zhang：待核验
Chenxin An：待核验
Lean Wang：待核验
Xu Sun：待核验
Qi Liu：待核验"
41,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,MoS: Unleashing Parameter Efficiency of Low-Rank Adaptation with Mixture of Shards,未获取,未获取,未获取,"The rapid scaling of large language models necessitates more lightweight finetuning methods to reduce the explosive GPU memory overhead when numerous customized models are served simultaneously. Targeting more parameter-efficient low-rank adaptation (LoRA), parameter sharing presents a promising solution. Empirically, our research into high-level sharing principles highlights the indispensable role of differentiation in reversing the detrimental effects of pure sharing. Guided by this finding, we propose Mixture of Shards (MoS), incorporating both inter-layer and intra-layer sharing schemes, and integrating four nearly cost-free differentiation strategies, namely subset selection, pair dissociation, vector sharding, and shard privatization. Briefly, it selects a designated number of shards from global pools with a Mixture-of-Experts (MoE)-like routing mechanism before sequentially concatenating them to low-rank matrices. Hence, it retains all the advantages of LoRA while offering enhanced parameter efficiency, and effectively circumvents the drawbacks of peer parameter-sharing methods. Our empirical experiments demonstrate approximately 8x parameter savings in a standard LoRA setting. The ablation study confirms the significance of each component. Our insights into parameter sharing and MoS method may illuminate future developments of more parameter-efficient finetuning methods. The code is officially available at https://github.com/Forence1999/MoS.",分析提取：低秩适配；参数共享；参数分片；LoRA；微调效率,推理部署与参数效率,"研究问题：LoRA参数共享如何避免缺少差异化带来的性能损失？
采用方法：MoS组合层间、层内共享与分片选择、配对解耦等机制。",在保持低秩适配结构的同时减少可训练参数。,"Sheng Wang：香港大学
Liheng Chen：香港大学
Pengan Chen：香港大学
Jingwei Dong：西安交通大学
Boyang Xue：香港中文大学
Jiyue Jiang：香港中文大学
Chuan Wu：香港大学"
42,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Language Model Non-Myopic Generation for Reasoning and Planning,未获取,未获取,未获取,"Large Language Models have demonstrated remarkable abilities in reasoning and planning by breaking down complex problems into sequential steps. Despite their success in various domains like mathematical problem-solving and coding, LLMs face challenges in ensuring reliable and optimal planning due to their inherent myopic nature of autoregressive decoding. This paper revisits LLM reasoning from an optimal-control perspective, proposing a novel method, Predictive-Decoding, that leverages Model Predictive Control to enhance planning accuracy. By re-weighting LLM distributions based on foresight trajectories, Predictive-Decoding aims to mitigate early errors and promote non-myopic planning. Our experiments show significant improvements in a wide range of tasks for math, coding, and agents. Furthermore, Predictive-Decoding demonstrates computational efficiency, outperforming search baselines with reduced computational resources. This study provides insights into optimizing LLM planning capabilities.",分析提取：非短视生成；模型预测控制；前瞻轨迹；规划；解码,推理与决策规划,"研究问题：自回归生成的局部决策如何兼顾长期规划？
采用方法：用模型预测控制与前瞻轨迹重加权生成分布。",在数学、代码和智能体任务改善非短视规划，并降低搜索成本。,"Chang Ma：香港大学
Haiteng Zhao：北京大学
Junlei Zhang：浙江大学；西湖大学
Junxian He：香港科技大学"
43,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Beyond Autoregression: Discrete Diffusion for Complex Reasoning and Planning,未获取,未获取,未获取,"Autoregressive language models, despite their impressive capabilities, struggle with complex reasoning and long-term planning tasks. We introduce discrete diffusion models as a novel solution to these challenges. Through the lens of subgoal imbalance, we demonstrate how diffusion models effectively learn difficult subgoals that elude autoregressive approaches. We propose Multi-Granularity Diffusion Modeling (MGDM), which prioritizes subgoals based on difficulty during learning. On complex tasks like Countdown, Sudoku, and Boolean Satisfiability Problems, MGDM significantly outperforms autoregressive models without using search techniques. For instance, MGDM achieves 91.5\% and 100\% accuracy on Countdown and Sudoku, respectively, compared to 45.8\% and 20.7\% for autoregressive models. Our work highlights the potential of diffusion-based approaches in advancing AI capabilities for sophisticated language understanding and problem-solving tasks. All associated codes are available at \href{https://github.com/HKUNLP/diffusion-vs-ar}{https://github.com/HKUNLP/diffusion-vs-ar}.",分析提取：离散扩散；子目标；多粒度建模；复杂推理；规划,扩散推理与规划,"研究问题：扩散模型能否缓解复杂推理中的困难子目标学习失衡？
采用方法：提出按难度学习子目标的多粒度扩散建模MGDM。",在Countdown、数独和SAT任务中无需显式搜索即可改善推理表现。,"Jiacheng Ye：香港大学
Jiahui Gao：华为诺亚方舟实验室
Shansan Gong：香港大学
Lin Zheng：香港大学
Xin Jiang：华为诺亚方舟实验室
Zhenguo Li：华为诺亚方舟实验室"
44,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Implicit Search via Discrete Diffusion: A Study on Chess,未获取,未获取,未获取,"In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed attention is driven by the recognition that current next-token prediction models often lack the ability for long-term planning. Is it possible to instill search-like abilities within the models to enhance their planning abilities without relying on explicit search? We propose DiffuSearch , a model that does \textit{implicit search} by looking into the future world via discrete diffusion modeling. We instantiate DiffuSearch on a classical board game, Chess, where explicit search is known to be essential. Through extensive controlled experiments, we show DiffuSearch outperforms both the searchless and explicit search-enhanced policies. Specifically, DiffuSearch outperforms the one-step policy by 19.2% and the MCTS-enhanced policy by 14% on action accuracy. Furthermore, DiffuSearch demonstrates a notable 30% enhancement in puzzle-solving abilities compared to explicit search-based policies, along with a significant 540 Elo increase in game-playing strength assessment. These results indicate that implicit search via discrete diffusion is a viable alternative to explicit search over a one-step policy. All codes are publicly available at \href{https://github.com/HKUNLP/DiffuSearch}{https://github.com/HKUNLP/DiffuSearch}.",分析提取：离散扩散；隐式搜索；国际象棋；世界状态；长期规划,扩散推理与规划,"研究问题：能否把类似搜索的规划能力内化进生成模型？
采用方法：DiffuSearch使用离散扩散预测未来世界状态。",在国际象棋任务对比无搜索及MCTS策略，提供隐式搜索可行性的实验证据。,"Jiacheng Ye：待核验
Zhenyu Wu：待核验
Jiahui Gao：待核验
Zhiyong Wu：待核验
Xin Jiang：待核验
Zhenguo Li：待核验"
45,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,未获取,未获取,未获取,"Large language models (LLMs) have shown remarkable proficiency in human-level reasoning and generation capabilities, which encourages extensive research on their application in mathematical problem solving. However, current work has been largely focused on text-based mathematical problems, with limited investigation in problems involving geometric information. Addressing this gap, we aim to enable LLMs to solve geometric problems by understanding image input. We first analyze the limitations of current Multimodal Large Language Models (MLLMs) in this area: they struggle to accurately comprehending basic geometric elements and their relationships. To overcome these challenges, we take advantage of the unique characteristics of geometric problems (such as unique geometric logical form, and geometric scalability) and the capacity of the textual LLMs to build an enriched multimodal geometry dataset based on existing data. The augmented dataset, Geo170K, contains more than 170K geometric image-caption and question-answer pairs. Utilizing our constructed Geo170K dataset, we develop G-LLaVA, which demonstrates exceptional performance in solving geometric problems, significantly outperforming GPT-4-V on the MathVista benchmark with only 7B parameters.",分析提取：几何推理；多模态；Geo170K；数据增强；几何关系,数学推理与题目合成,"研究问题：多模态模型如何理解几何元素并解答几何题？
采用方法：借助几何逻辑与可缩放性构造Geo170K，再训练G-LLaVA。",同时改善几何图形理解与解题能力，提供多模态几何数据。,"Jiahui Gao：待核验
Renjie Pi：待核验
Jipeng Zhang：待核验
Jiacheng Ye：待核验
Wanjun Zhong：待核验
Yufei Wang：待核验
Lanqing Hong：待核验
Jianhua Han：待核验
Hang Xu：待核验
Zhenguo Li：待核验"
46,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Why Does the Effective Context Length of LLMs Fall Short?,未获取,未获取,未获取,"Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effective context lengths of open-source LLMs often fall short, typically not exceeding half of their training lengths. In this work, we attribute this limitation to the left-skewed frequency distribution of relative positions formed in LLMs pretraining and post-training stages, which impedes their ability to effectively gather distant information. To address this challenge, we introduce ShifTed Rotray position embeddING (STRING). STRING shifts well-trained positions to overwrite the original ineffective positions during inference, enhancing performance within their existing training lengths. Experimental results show that without additional training, STRING dramatically improves the performance of the latest large-scale models, such as Llama3.1 70B and Qwen2 72B, by over 10 points on popular long-context benchmarks RULER and InfiniteBench, establishing new state-of-the-art results for open-source LLMs. Compared to commercial models, Llama 3.1 70B with \method even achieves better performance than GPT-4-128K and clearly surpasses Claude 2 and Kimi-chat.",分析提取：有效上下文；位置编码；STRING；相对位置；长文本,长上下文建模与压缩,"研究问题：模型有效上下文长度为何短于训练窗口？
采用方法：分析相对位置频率偏差，并用STRING移动训练充分的位置编码。",无需再训练即可改善远距离信息利用与窗口内表现。,"Chenxin An：香港大学
Jun Zhang：字节跳动
Ming Zhong：伊利诺伊大学厄巴纳-香槟分校
Lei Li：香港大学
Shansan Gong：香港大学
Yao Luo：字节跳动
Jingjing Xu：字节跳动"
47,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Scaling Diffusion Language Models via Adaptation from Autoregressive Models,未获取,未获取,未获取,"Diffusion Language Models (DLMs) have emerged as a promising new paradigm for text generative modeling, potentially addressing limitations of autoregressive (AR) models. However, current DLMs have been studied at a smaller scale compared to their AR counterparts and lack fair comparison on language modeling benchmarks. Additionally, training diffusion models from scratch at scale remains challenging. Given the prevalence of open-source AR language models, we propose adapting these models to build text diffusion models. We demonstrate connections between AR and diffusion modeling objectives and introduce a simple continual pre-training approach for training diffusion models. Through systematic evaluation on language modeling, reasoning, and commonsense benchmarks, we show that we can convert AR models ranging from 127M to 7B parameters (GPT2 and LLaMA) into diffusion models DiffuGPT and DiffuLLaMA, using less than 200B tokens for training. Our experimental results reveal that these models outperform earlier DLMs and are competitive with their AR counterparts. We release a suite of DLMs (127M-355M-7B) capable of generating fluent text, performing in-context learning, filling in the middle without prompt re-ordering, and following instructions https://github.com/HKUNLP/DiffuLLaMA.",分析提取：扩散语言模型；自回归适配；持续预训练；规模扩展；文本生成,扩散文本生成,"研究问题：如何利用现有自回归模型降低大规模扩散语言模型的训练门槛？
采用方法：连接自回归与扩散目标，通过持续预训练转换GPT和LLaMA。",发布不同规模的扩散模型，并验证语言建模、推理及填空能力。,"Shansan Gong：香港大学
Shivam Agarwal：伊利诺伊大学厄巴纳-香槟分校
Yizhe Zhang：Apple
Jiacheng Ye：香港大学
Lin Zheng：香港大学
Mukai Li：香港大学
Chenxin An：香港大学
Peilin Zhao：腾讯AI Lab
Wei Bi：腾讯AI Lab
Jiawei Han：伊利诺伊大学厄巴纳-香槟分校
Hao Peng：伊利诺伊大学厄巴纳-香槟分校"
48,2025,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 是,Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,未获取,未获取,未获取,"Large language models (LLMs) have significantly benefited from training on diverse, high-quality task-specific data, leading to impressive performance across a range of downstream applications. Current methods often rely on human-annotated data or predefined task templates to direct powerful LLMs in synthesizing task-relevant data for effective model training. However, this dependence on manually designed components may constrain the scope of generated data, potentially overlooking critical edge cases or novel scenarios that could challenge the model. In this paper, we present a novel approach, ReverseGen, designed to automatically generate effective training samples that expose the weaknesses of LLMs. Specifically, we introduce a dedicated proposer trained to produce queries that lead target models to generate unsatisfactory responses. These failure-inducing queries are then used to construct training data, helping to address the models' shortcomings and improve overall performance. Our approach is flexible and can be applied to models of various scales (3B, 7B, and 8B). We evaluate ReverseGen on three key applications (safety, honesty, and math), demonstrating that our generated data is both highly effective and diverse. Models fine-tuned with ReverseGen-generated data consistently outperform those trained on human-annotated or general model-generated data, offering a new perspective on data synthesis for task-specific LLM enhancement.",分析提取：数据合成；失败探索；训练样本；模型弱点；ReverseGen,任务数据合成,"研究问题：合成数据如何主动覆盖目标模型的薄弱情形？
采用方法：ReverseGen训练提议者生成使目标模型失败的问题，再构造训练数据。",在安全、诚实和数学任务验证失败驱动的数据探索。,"Qintong Li：香港大学
Jiahui Gao：香港大学；华为诺亚方舟实验室
Sheng Wang：香港大学
Renjie Pi：香港科技大学
Xueliang Zhao：香港大学
Chuan Wu：香港大学
Xin Jiang：华为诺亚方舟实验室
Zhenguo Li：华为诺亚方舟实验室"
49,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,ImgTrojan: Jailbreaking Vision-Language Models with ONE Image,未获取,未获取,未获取,"There has been an increasing interest in the alignment of large language models (LLMs) with human values. However, the safety issues of their integration with a vision module, or vision language models (VLMs), remain relatively underexplored. In this paper, we propose a novel jailbreaking attack against VLMs, aiming to bypass their safety barrier when a user inputs harmful instructions. A scenario where our poisoned (image, text) data pairs are included in the training data is assumed. By replacing the original textual captions with malicious jailbreak prompts, our method can perform jailbreak attacks with the poisoned images. Moreover, we analyze the effect of poison ratios and positions of trainable parameters on our attack’s success rate. For evaluation, we design two metrics to quantify the success rate and the stealthiness of our attack. Together with a list of curated harmful instructions, a benchmark for measuring attack efficacy is provided. We demonstrate the efficacy of our attack by comparing it with baseline methods.",分析提取：视觉语言模型；数据污染；后门；安全对齐；鲁棒性评测,模型安全与可靠性,"研究问题：视觉语言模型对训练数据中的图像后门有多脆弱？
采用方法：研究被污染图文训练对引发的安全失效，并比较污染比例和参数位置。",建立攻击成功与隐蔽性评价指标，提供多模态对齐风险证据。,"Xijia Tao：香港大学
Shuai Zhong：香港大学
Lei Li：香港大学
Qi Liu：香港大学"
50,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,FactTrack: Time-Aware World State Tracking in Story Outlines,未获取,未获取,未获取,"While accurately detecting and correcting factual contradictions in language model outputs has become increasingly important as their capabilities improve, doing so is highly challenging. We propose a novel method, FactTrack, for tracking atomic facts and addressing factual contradictions. Crucially, FactTrack also maintains time-aware validity intervals for each fact, allowing for change over time. At a high level, FactTrack consists of a four-step pipeline to update a world state data structure for each new event: (1) decompose the event into directional atomic facts; (2) determine the validity interval of each atomic fact using the world state; (3) detect contradictions with existing facts in the world state; and finally (4) add new facts to the world state and update existing atomic facts. When we apply FactTrack to contradiction detection on structured story outlines, we find that FactTrack using LLaMA2-7B-Chat substantially outperforms a fair baseline using LLaMA2-7B-Chat, and achieves performance comparable to a GPT4 baseline. Moreover, when using GPT4, FactTrack significantly outperforms the GPT4 baseline.",分析提取：事实一致性；时间区间；世界状态；故事生成；原子事实,可控文本生成与一致性,"研究问题：故事世界中的事实变化如何与事实矛盾区分？
采用方法：FactTrack提取原子事实、维护时间有效区间并持续更新世界状态。",将时间意识引入故事提纲的矛盾检测，改善事实一致性判断。,"Zhiheng Lyu：香港大学
Kevin Yang：加州大学伯克利分校
Dan Klein：待核验"
51,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,How Well Do LLMs Handle Cantonese? Benchmarking Cantonese Capabilities of Large Language Models,未获取,未获取,未获取,"The rapid evolution of large language models (LLMs) has transformed the competitive landscape in natural language processing (NLP), particularly for English and other data-rich languages. However, underrepresented languages like Cantonese, spoken by over 85 million people, face significant development gaps, which is particularly concerning given the economic significance of the Guangdong-Hong Kong-Macau Greater Bay Area, and in substantial Cantonese-speaking populations in places like Singapore and North America. Despite its wide use, Cantonese has scant representation in NLP research, especially compared to other languages from similarly developed regions. To bridge these gaps, we outline current Cantonese NLP methods and introduce new benchmarks designed to evaluate LLM performance in factual generation, mathematical logic, complex reasoning, and general knowledge in Cantonese, which aim to advance open-source Cantonese LLM technology. We also propose future research directions and recommended models to enhance Cantonese LLM development.",分析提取：粤语；低资源语言；事实生成；推理评测；语言资源,多语言能力与低资源学习,"研究问题：如何检验大模型的粤语知识、逻辑与推理能力？
采用方法：梳理粤语NLP资源，建立事实、数学和复杂推理等基准。",指出粤语资源与能力缺口，并为后续模型和数据建设提供评价依据。,"Jiyue Jiang：香港中文大学
Pengan Chen：香港大学
Liheng Chen：香港大学
Sheng Wang：香港大学
Qinghang Bao：香港大学
Yu Li：香港中文大学
Chuan Wu：香港大学"
52,2024,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,未获取,未获取,未获取,"Recently, diffusion models have garnered significant interest in the field of text processing due to their many potential advantages compared to conventional autoregressive models. In this work, we propose Diffusion-of-Thought (DoT), a novel approach that integrates diffusion models with Chain-of-Thought, a well-established technique for improving the reasoning ability of autoregressive language models. In contrast to autoregressive language models that make decisions in a left-to-right, token-by-token manner, DoT allows reasoning steps to diffuse over time through a diffusion language model and offers greater flexibility in trading-off computation for reasoning performance. Our experimental results demonstrate the effectiveness of DoT in multi-digit multiplication, boolean logic, and grade school math problems, with a small diffusion model outperforming a much larger autoregressive model in both efficiency and accuracy. In addition to that, DoT showcases promising self-correction abilities and benefits from existing reasoning-enhancing techniques like self-consistency decoding. Our findings contribute to the understanding and development of reasoning with diffusion language models.",分析提取：扩散模型；思维链；迭代去噪；自我修正；自一致性,扩散推理与规划,"研究问题：思维链能否在扩散语言模型中以非从左到右的方式生成？
采用方法：DoT把思维链与迭代扩散结合，允许推理步骤随去噪过程演化。",展示计算与推理表现的灵活取舍、自我修正和自一致性收益。,"Jiacheng Ye：香港大学
Shansan Gong：香港大学
Liheng Chen：香港大学
Lin Zheng：香港大学
Jiahui Gao：华为诺亚方舟实验室
Han Shi：华为诺亚方舟实验室
Chuan Wu：香港大学
Xin Jiang：华为诺亚方舟实验室
Zhenguo Li：华为诺亚方舟实验室
Wei Bi：腾讯AI Lab"
53,2024,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,未获取,未获取,未获取,"Evaluating Large Language Models (LLMs) as general-purpose agents is essential for understanding their capabilities and facilitating their integration into practical applications. However, the evaluation process presents substantial challenges. A primary obstacle is the benchmarking of agent performance across diverse scenarios within a unified framework, especially in maintaining partially-observable environments and ensuring multi-round interactions. Moreover, current evaluation frameworks mostly focus on the final success rate, revealing few insights during the process and failing to provide a deep understanding of the model abilities. To address these challenges, we introduce AgentBoard, a pioneering comprehensive benchmark and accompanied open-source evaluation framework tailored to analytical evaluation of LLM agents. AgentBoard offers a fine-grained progress rate metric that captures incremental advancements as well as a comprehensive evaluation toolkit that features easy assessment of agents for multi-faceted analysis. This not only sheds light on the capabilities and limitations of LLM agents but also propels the interpretability of their performance to the forefront. Ultimately, AgentBoard serves as a step towards demystifying agent behaviors and accelerating the development of stronger LLM agents.",分析提取：智能体；多轮交互；部分可观测；进度率；统一评测,工具智能体与任务评测,"研究问题：如何比较多轮、部分可观测任务中的智能体行为？
采用方法：构建AgentBoard统一环境，并用细粒度进度率衡量中间进展。",超越单一最终成功率，支持对任务过程和能力限制的分析。,"Chang Ma：待核验
Junlei Zhang：待核验
Zhihao Zhu：待核验
Cheng Yang：待核验
Yujiu Yang：待核验
Yaohui Jin：待核验
Zhenzhong Lan：待核验
Junxian He：待核验"
